Compound_Score,Neg_Score,Neu_Score,Pos_Score,Timestamp,Tweet_Text,Tweets_Ago,User
-0.5574,0.118,0.882,0.0,Mon Jan 08 22:31:10 +0000 2018,"RT @BBCSport: Widnes Vikings' Kato Ottio has died at the age of 23.

He was due to travel to the UK next week in preparation for the start…",1,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 22:21:04 +0000 2018,North and South Korea to begin high-level talks https://t.co/LL7q3bnNvF,2,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 22:07:47 +0000 2018,Google sued over 'male discrimination' https://t.co/eu2lUxcE1p,3,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 21:22:53 +0000 2018,Rugby League player Ottio dies aged 23 https://t.co/SvQfsQC5si,4,BBCWorld
-0.3923,0.164,0.744,0.092,Mon Jan 08 21:20:13 +0000 2018,"RT @BBCNorthAmerica: - Sad!
- Bigly? Or big league?
- Covfefe
10 words and phrases invented or popularised by President Trump

https://t.co…",5,BBCWorld
-0.7717,0.242,0.758,0.0,Mon Jan 08 21:09:40 +0000 2018,"RT @BBCSport: Widnes Vikings centre Kato Ottio has died at the age of 23 after suffering ""a sudden health issue"" in training.
https://t.co/…",6,BBCWorld
-0.5719,0.485,0.515,0.0,Mon Jan 08 19:26:48 +0000 2018,'Raw water': A dangerous new health craze? https://t.co/ITwXnTzt2y,7,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 18:44:08 +0000 2018,Ghana bars recruits over stretch marks and bleached skin https://t.co/KQxK3LPS6y,8,BBCWorld
-0.8176,0.586,0.414,0.0,Mon Jan 08 18:36:15 +0000 2018,Egypt police detained after custody death triggers protests https://t.co/K8OExRAhN4,9,BBCWorld
-0.5574,0.34,0.66,0.0,Mon Jan 08 18:23:20 +0000 2018,Bangladesh court upholds Myanmar Rohingya marriage ban https://t.co/rWzDsp9V94,10,BBCWorld
-0.5423,0.304,0.696,0.0,Mon Jan 08 18:15:21 +0000 2018,Prisoner wakes up in mortuary in Asturias Spain https://t.co/H602fJ10NI,11,BBCWorld
0.0,0.0,1.0,0.0,Mon Jan 08 17:34:37 +0000 2018,"RT @awzurcher: Winfrey vs Trump may not be the 2020 presidential race America needs, but it's the one it deserves. https://t.co/oWjWS8H7g2",12,BBCWorld
-0.3182,0.277,0.723,0.0,Mon Jan 08 17:04:17 +0000 2018,A child interrupts an Al Jazeera interview https://t.co/UNYXC5MbNk,13,BBCWorld
